aml_id,entity_id,entity_type,reason,risk_level,created_date
c1325f1a-c31d-4891-9de9-1ac4c514e3a5,e14cb11e-6e82-46b3-bf69-7ccc03d2be8f,Company,Payroll vs Turnover Mismatch,High,29-Jan-2026
c47edca3-95e9-4ba4-aafe-4cabef4ebe34,e14cb11e-6e82-46b3-bf69-7ccc03d2be8f,Company,Turnover per Employee Anomaly,High,29-Jan-2026
35437ed2-0d7f-4984-8123-f598a4659ffc,c03fffc7-8e33-411a-9c3a-c5edd2b6a916,Company,Payroll vs Turnover Mismatch,High,29-Jan-2026
e885b549-733e-479f-8b6f-7b17699e880c,c03fffc7-8e33-411a-9c3a-c5edd2b6a916,Company,VAT Under-Reporting,High,29-Jan-2026
5b123470-5e8f-4d2d-9174-a5f09ab59e68,8946879f-b29b-413a-ab8c-f4c4b52ac43a,Company,VAT Under-Reporting,High,29-Jan-2026
6c63342b-756e-466c-849a-81a8b79298f5,0a9f3cee-cb91-4d5c-b347-f087fd94b87b,Company,Payroll vs Turnover Mismatch,High,29-Jan-2026
2d71485c-d1c7-43e1-9b55-cde27c201bc2,0a9f3cee-cb91-4d5c-b347-f087fd94b87b,Company,Turnover per Employee Anomaly,High,29-Jan-2026
22ec9bd1-ca61-4639-aa6d-f5e45ba7d4d4,b047440f-48ed-4e3d-ba4a-de746b36de1d,Company,Payroll vs Turnover Mismatch,High,29-Jan-2026
415ee110-6278-4200-8892-2705dbd7914d,b047440f-48ed-4e3d-ba4a-de746b36de1d,Company,VAT Under-Reporting,High,29-Jan-2026
84130662-17ec-47eb-adb4-6a8150b78a71,b62e09b8-fdb4-4e26-8f57-7db49ca9aab1,Company,Payroll vs Turnover Mismatch,High,29-Jan-2026
84ff2a05-58dc-42ec-a725-4bfb2298cf6f,b62e09b8-fdb4-4e26-8f57-7db49ca9aab1,Company,VAT Under-Reporting,High,29-Jan-2026
94cf31c2-6898-4fbd-907e-b00442b87861,b62e09b8-fdb4-4e26-8f57-7db49ca9aab1,Company,Turnover per Employee Anomaly,High,29-Jan-2026
978cb052-22c5-4a16-9031-1ae8edbb93b2,cd3a5ee7-7be1-4d35-8ad6-fb1382074ef0,Company,VAT Under-Reporting,High,29-Jan-2026
653e5c46-5686-4d85-a1c3-2868763d24b9,9778181e-ca70-4c47-b6cf-f94126037421,Company,Payroll vs Turnover Mismatch,High,29-Jan-2026
4a430556-9cc4-4a8f-a2db-654d7f923bb4,9778181e-ca70-4c47-b6cf-f94126037421,Company,VAT Under-Reporting,High,29-Jan-2026
6602a5b3-d146-41ea-8223-e9501f0f3d7d,9778181e-ca70-4c47-b6cf-f94126037421,Company,Turnover per Employee Anomaly,High,29-Jan-2026
962b0d5b-a121-4516-b487-6770d891d890,bbb08d2c-58c9-4596-a3ff-94708fb9ba3e,Company,VAT Under-Reporting,High,29-Jan-2026
b30e6e03-eef4-45a6-879f-a38f5c3766d0,38f01129-51be-4bb9-b185-1d5e02b39e74,Company,VAT Under-Reporting,High,29-Jan-2026
145a22f7-e1b8-465b-bf5e-84f0d091be38,cd8553b1-e4ef-438a-a226-7118cf1c8df0,Company,VAT Under-Reporting,High,29-Jan-2026
49bd8418-a687-4bce-a8f0-5d1ff0d09695,90b1880c-db84-4cda-b4cd-f192783c5ed5,Company,Payroll vs Turnover Mismatch,High,29-Jan-2026
e49940ed-bf29-4bc9-9760-058258cb731e,90b1880c-db84-4cda-b4cd-f192783c5ed5,Company,Turnover per Employee Anomaly,High,29-Jan-2026
347b9e28-45cd-435e-a887-a354f52a6ddd,c69d8e47-c108-4727-844e-880a2cb2d600,Company,VAT Under-Reporting,High,29-Jan-2026
84daa8db-41db-4e6c-ae7f-9cf09adb9faa,323b5f3e-5132-4b87-9f14-28b18b80acbe,Company,VAT Under-Reporting,High,29-Jan-2026
74075e13-3351-4fc8-af5d-32a45189d662,03e0e44c-9614-4924-b99b-9d56aa7f3b20,Company,Payroll vs Turnover Mismatch,High,29-Jan-2026
6b0af1ef-44ed-4662-816d-0e88b04239f9,03e0e44c-9614-4924-b99b-9d56aa7f3b20,Company,VAT Under-Reporting,High,29-Jan-2026
9a72a2af-9d31-4da8-b562-75c36905a5aa,968b3cf9-d91a-4cea-a1e8-dc81b4d7cd64,Company,Payroll vs Turnover Mismatch,High,29-Jan-2026
d8eaf6ce-b068-40b9-8564-f02a725d3f4c,968b3cf9-d91a-4cea-a1e8-dc81b4d7cd64,Company,VAT Under-Reporting,High,29-Jan-2026
d96aa24a-8013-4490-93d9-347efe5331a9,3a1688f6-975d-457e-9fcf-f02cd12b6228,Company,Payroll vs Turnover Mismatch,High,29-Jan-2026
4201ba14-e072-4eec-a3e0-63bb1192ea11,3a1688f6-975d-457e-9fcf-f02cd12b6228,Company,VAT Under-Reporting,High,29-Jan-2026
be88dff1-165a-48ad-a850-304cef43a9a1,85c0d59d-add7-4e60-a8fb-84a17b97c470,Company,Payroll vs Turnover Mismatch,High,29-Jan-2026
e4729c28-7a90-400d-8397-906523f92306,85c0d59d-add7-4e60-a8fb-84a17b97c470,Company,VAT Under-Reporting,High,29-Jan-2026
91fe6146-1c86-441a-9c35-ae0390ed9059,85c0d59d-add7-4e60-a8fb-84a17b97c470,Company,Turnover per Employee Anomaly,High,29-Jan-2026
469b2243-2a9f-4576-9450-d727220570d2,7b9bb2da-8331-4b86-9f73-af753f30d428,Company,Payroll vs Turnover Mismatch,High,29-Jan-2026
5e6a2a27-7400-4848-96e6-224f3254b4b9,7b9bb2da-8331-4b86-9f73-af753f30d428,Company,VAT Under-Reporting,High,29-Jan-2026
3c794842-5d60-4951-92d6-faee4eaec4b5,e9bbdd87-eabc-4026-bd96-1355bf546b13,Company,Payroll vs Turnover Mismatch,High,29-Jan-2026
2a32d5c8-f609-449b-8310-fc60600d5cef,fc196195-8726-43a1-905a-0e54ffc32ab9,Company,VAT Under-Reporting,High,29-Jan-2026
51def390-60f6-4357-9f68-8bbed8f07ce4,1d2e611b-2653-48bd-af2d-aa76c941c890,Company,VAT Under-Reporting,High,29-Jan-2026
bba02848-541f-40d7-a900-d86938ea7846,ddce4ecb-5da6-4685-b204-da85ebe28c87,Company,VAT Under-Reporting,High,29-Jan-2026
220e4ab5-7d36-4789-be8e-8ced84b26de4,4661f9f4-8179-417e-a175-e647ce587a25,Company,Payroll vs Turnover Mismatch,High,29-Jan-2026
0173d92e-43ca-4941-baa2-1fad46334a73,4661f9f4-8179-417e-a175-e647ce587a25,Company,VAT Under-Reporting,High,29-Jan-2026
289bebc5-8df6-4a70-b836-d403c546b0f6,4661f9f4-8179-417e-a175-e647ce587a25,Company,Turnover per Employee Anomaly,High,29-Jan-2026
48d0c2e3-74c3-4e1f-8740-a4af033d9d8f,dd7c2437-32d9-4dda-a129-1cfbd5f98b54,Company,Payroll vs Turnover Mismatch,High,29-Jan-2026
f1eb14d4-35d6-4291-83bc-59a689ded065,dd7c2437-32d9-4dda-a129-1cfbd5f98b54,Company,Turnover per Employee Anomaly,High,29-Jan-2026
2eda1d7e-d328-4f8b-9bc1-1e6a66477448,49c8c8bd-42e0-4525-904c-f6f3a060b9bb,Company,Payroll vs Turnover Mismatch,High,29-Jan-2026
25e06e3c-22da-43ad-bba2-4ee396d7a90e,a7050965-0c93-41c0-876e-87fa34cccb38,Company,VAT Under-Reporting,High,29-Jan-2026
f01be57b-884c-4886-ab77-60c2470c4d86,016493a8-40aa-4d94-92b2-4a0db81d2089,Company,Payroll vs Turnover Mismatch,High,29-Jan-2026
fe27f854-691c-4a5c-a2d4-63da6b68ca3c,33d84ae2-ebdf-4c27-8f02-41e0ab82bf6e,Company,VAT Under-Reporting,High,29-Jan-2026
6adae56a-ad72-41b7-8af6-10e5a74ee9f5,53d84ab5-9149-47df-8456-3cb4a320a795,Company,Payroll vs Turnover Mismatch,High,29-Jan-2026
bbfc8b6e-8ebd-4b64-bc8a-7e3e38f3780d,53d84ab5-9149-47df-8456-3cb4a320a795,Company,VAT Under-Reporting,High,29-Jan-2026
bd824b86-6b0d-4726-93e6-1419b7d161c8,ec55c991-3dae-4a3d-a6cf-16c853b2173d,Company,Payroll vs Turnover Mismatch,High,29-Jan-2026
49db63cb-7a25-4c85-939d-df14ab5e2db1,ec55c991-3dae-4a3d-a6cf-16c853b2173d,Company,Turnover per Employee Anomaly,High,29-Jan-2026
e3e0f89c-b0a8-4664-8cac-9fc3aa890f3c,ab85cb8c-618c-4895-a84d-07eecf555a99,Company,Payroll vs Turnover Mismatch,High,29-Jan-2026
01ab77b7-310d-4db9-9314-50e89d5aec4c,ab85cb8c-618c-4895-a84d-07eecf555a99,Company,VAT Under-Reporting,High,29-Jan-2026
1e80a8f6-472d-4193-9d21-aa03b4425c73,f2318303-ea63-4fef-a900-8a7f4a81eaf6,Company,VAT Under-Reporting,High,29-Jan-2026
b1a336c3-e4ca-4715-b2eb-c43cfb360325,65074b7c-15ed-43e7-be0b-7c835fd9187f,Company,VAT Under-Reporting,High,29-Jan-2026
e5203693-ef24-4983-9145-f540afb1ad04,2c47b5a0-1665-442c-b02e-a4d0a4d13377,Company,Payroll vs Turnover Mismatch,High,29-Jan-2026
6929c907-7f10-4b8e-90d2-0bbb42a85e23,2c47b5a0-1665-442c-b02e-a4d0a4d13377,Company,Turnover per Employee Anomaly,High,29-Jan-2026
61f6a741-c0d1-462c-b181-b7ca6fcb390f,de042abe-7739-4503-a53b-55fbb0efe41f,Company,Payroll vs Turnover Mismatch,High,29-Jan-2026
5e3d8a42-1062-4363-ad7e-a90ee71f4a64,de042abe-7739-4503-a53b-55fbb0efe41f,Company,VAT Under-Reporting,High,29-Jan-2026
8d938b04-0fa6-4a09-898e-7da9ad13395a,de042abe-7739-4503-a53b-55fbb0efe41f,Company,Turnover per Employee Anomaly,High,29-Jan-2026
3e854424-0fa7-4430-90ea-6a410deb364c,ed2b2d2a-b6dc-4d4c-85ea-5184c91c7cab,Company,VAT Under-Reporting,High,29-Jan-2026
4312fcda-a1fe-434d-b6e2-79e855d92331,8b738f47-2b28-42bf-b8bc-12970bb602db,Company,Payroll vs Turnover Mismatch,High,29-Jan-2026
825a2b89-f9a4-404a-8e3d-163921273140,45836d8d-3c2e-4597-b40d-4f60a764595c,Company,VAT Under-Reporting,High,29-Jan-2026
b5a0870f-838f-450f-9d1c-0a38b0b13f29,74162113-8f1a-454b-8899-0c944842256d,Company,Payroll vs Turnover Mismatch,High,29-Jan-2026
5d53c724-4db7-4a85-878a-03f2ad4ad1ba,74162113-8f1a-454b-8899-0c944842256d,Company,VAT Under-Reporting,High,29-Jan-2026
cbf081d3-1e84-4948-8bdf-985ee34deeb6,d41e3494-8077-4bdd-8a64-e0142f77e507,Company,Payroll vs Turnover Mismatch,High,29-Jan-2026
af453d72-8463-4eb0-ad32-893045c77fa0,d41e3494-8077-4bdd-8a64-e0142f77e507,Company,VAT Under-Reporting,High,29-Jan-2026
7cc38968-846f-45b7-b13b-111275556976,d41e3494-8077-4bdd-8a64-e0142f77e507,Company,Turnover per Employee Anomaly,High,29-Jan-2026
cf25dae2-262e-4fd0-ad45-39cb4468e45a,553477fa-ebad-4587-a79e-c2fb37272eec,Company,Payroll vs Turnover Mismatch,High,29-Jan-2026
c7b1a328-265d-4259-b539-003d3b38a34b,553477fa-ebad-4587-a79e-c2fb37272eec,Company,VAT Under-Reporting,High,29-Jan-2026
10db29cb-8e13-404c-910c-06499b86e316,d0125b52-6cd9-48f2-bbfd-ae2fe9d43c4c,Company,VAT Under-Reporting,High,29-Jan-2026
26f43d2c-79e9-4144-bf34-1ea1b063f81e,d910f6f0-255e-4cd2-956d-eee99822b3c2,Company,Payroll vs Turnover Mismatch,High,29-Jan-2026
6c739278-96f9-4cce-8471-cb03f2c3ffe5,d910f6f0-255e-4cd2-956d-eee99822b3c2,Company,VAT Under-Reporting,High,29-Jan-2026
8aec05a9-75f7-474c-8597-f7d3e837d9df,d910f6f0-255e-4cd2-956d-eee99822b3c2,Company,Turnover per Employee Anomaly,High,29-Jan-2026
