company_id,registration_number,tin,name,industry_sector,entity_type,turnover,declared_turnover,estimated_profit,cit_due,development_levy_due,staff_strength,payroll_estimate,vat_paid,founded_date,founded_year,last_audit_date,state,lga,website,applicable_taxes
e14cb11e-6e82-46b3-bf69-7ccc03d2be8f,RC-117445,2222381176042,Union Bank Technologies NGO/Gte,Energy,NGO/Gte,3607828778.39607,3067317554.8282413,545751695.5329753,920195266.4484724,122692702.19312966,142,31713431.11984651,226190692.80300635,22-Apr-2024,2024,02-Feb-2024,Kano,Gwale,www.unionbanktechnologiesngo/gte.ng,"CIT,VAT,WHT,CGT"
c03fffc7-8e33-411a-9c3a-c5edd2b6a916,RC-697189,2880550351258,Pointek West Africa LLP,Retail,LLP,3229389783.4543166,3089698792.7009163,582184759.6821126,926909637.8102748,123587951.70803666,312,128803213.46911892,94949231.06069411,21-Oct-2024,2024,02-Jul-2024,Abuja (FCT),Gwagwalada,www.pointekwestafricallp.com.ng,"CIT,VAT,WHT,CGT"
8946879f-b29b-413a-ab8c-f4c4b52ac43a,RC-139897,7553338437215,Moniepoint Enterprises PLC,Manufacturing,PLC,349273730.8631288,181226737.032534,35423928.379797444,54368021.1097602,7249069.48130136,908,331827892.43746084,3860297.2845204305,16-Jan-2016,2016,04-Jul-2024,Delta,Ughelli North,www.moniepointenterprisesplc.ng,"CIT,VAT,WHT,CGT"
0a9f3cee-cb91-4d5c-b347-f087fd94b87b,RC-457920,7230500485443,Jumia Enterprises PLC,Fintech,PLC,4971934832.855141,4604795768.586641,462276556.61809504,1381438730.5759923,184191830.74346566,198,87371511.70044714,205850161.54392666,26-Sep-2020,2020,24-Dec-2025,Lagos,Mushin,www.jumiaenterprisesplc.com.ng,"CIT,VAT,WHT,CGT"
ae01bd54-7044-46c8-b908-130482ce4681,RC-679778,1832406431587,Dangote Industries PLC,Manufacturing,PLC,259809949.33685943,132966476.05079736,56812486.6634298,39889942.815239206,5318659.042031894,424,175662842.26649162,6603142.260681081,10-Aug-2017,2017,14-Oct-2024,Ogun,Sagamu,www.dangoteindustriesplc.com.ng,"CIT,VAT,WHT,CGT"
b047440f-48ed-4e3d-ba4a-de746b36de1d,RC-469122,7746002821863,Sterling West Africa PLC,Energy,PLC,1340776344.8478293,1087715173.7032802,196995681.508591,326314552.110984,43508606.94813121,440,23593344.223859187,13523032.40118535,24-Jul-2024,2024,29-Feb-2024,Kano,Gwale,www.sterlingwestafricaplc.ng,"CIT,VAT,WHT,CGT"
b62e09b8-fdb4-4e26-8f57-7db49ca9aab1,RC-651316,2474232278671,TotalEnergies Nigeria NGO/Gte,Manufacturing,NGO/Gte,2681701470.549146,2025898561.1610515,587950246.5807835,607769568.3483155,81035942.44644207,94,44787121.159963936,1836236.059595758,03-Jul-2024,2024,26-May-2024,Rivers,Port Harcourt,www.totalenergiesnigeriango/gte.ng,"CIT,VAT,WHT,CGT"
28de8743-92cc-47df-8c53-e497abcc27d0,RC-322051,8616026018487,Ibeto Group LLP,Fintech,LLP,12402272.093985528,10431607.05144889,1011150.1249296755,0.0,0.0,1064,230254336.22511718,463796.48593954736,07-Jan-2026,2026,26-Jun-2024,Plateau,Barkin Ladi,www.ibetogroupllp.com.ng,"CIT,VAT,WHT,CGT"
cd3a5ee7-7be1-4d35-8ad6-fb1382074ef0,RC-778960,0306812881051,Cadbury Industries NGO/Gte,Tech,NGO/Gte,129565052.3180106,99094123.08079942,22847226.327822994,29728236.924239825,0.0,356,106188845.35480167,3440083.5652543628,27-May-2024,2024,06-Mar-2025,Kaduna,Kafanchan,www.cadburyindustriesngo/gte.ng,"CIT,VAT,WHT,CGT"
9778181e-ca70-4c47-b6cf-f94126037421,RC-716641,1016166162330,Opay Enterprises NGO/Gte,Manufacturing,NGO/Gte,4146943038.7709813,3193183627.907753,614847260.3347839,957955088.3723259,127727345.11631012,78,30112690.53704504,3339967.2355468394,01-Nov-2019,2019,02-Jun-2025,Delta,Uyo,www.opayenterprisesngo/gte.ng,"CIT,VAT,WHT,CGT"
